Page 1,GO_1,I am willing to select a challenging class assignment that I can learn a lot from.,,,,,,,,,,,,,
,Infreq_10,I would be happy if I won the lottery.,,,,,,,,,,,,,
Page 11,N_8,Am not easily bothered by things. ,,,,,,,,,,,,,
,Ant_2b,I think people usually tell the truth.,,,,,,,,,,,,,
,RI_9,Have had a recurring dream in which all my teeth have fallen out.,,,,,,,,,,,,,
,C_8,Do just enough work to get by. ,,,,,,,,,,,,,
,Syn_7b,I have a lot of energy.,,,,,,,,,,,,,
,E_7,Make friends easily. ,,,,,,,,,,,,,
,A_6,Respect others. ,,,,,,,,,,,,,
,Ant_4b,I hold a grudge when people hurt me. ,,,,,,,,,,,,,
,A_7,Accept people as they are. ,,,,,,,,,,,,,
,Infreq_11,I can teleport across time and space.,,,,,,,,,,,,,
,E_8,Feel comfortable around people. ,,,,,,,,,,,,,
,O_6,Enjoy hearing new ideas. ,,,,,,,,,,,,,
,Syn_2b,It's annoying when people are late.,,,,,,,,,,,,,
,O_7,Tend to vote for conservative political candidates. ,,,,,,,,,,,,,
,Ant_10b,I am not interested in politics.,,,,,,,,,,,,,
,O_8,Tend to vote for liberal political candidates,,,,,,,,,,,,,
,Syn_4b,I worry about things a lot.,,,,,,,,,,,,,
Page 12,N_9,Feel comfortable with myself. ,,,,,,,,,,,,,
,Ant_11b,I am not patriotic.,,,,,,,,,,,,,
,A_8,Believe that others have good intentions. ,,,,,,,,,,,,,
,C_9,Am always prepared. ,,,,,,,,,,,,,
,Syn_8b,It’s easy for me to confide in my friends.,,,,,,,,,,,,,
,O_9,Do not like art. ,,,,,,,,,,,,,
,Ant_8b,I dislike small talk.,,,,,,,,,,,,,
,O_10,Do not enjoy going to art museums. ,,,,,,,,,,,,,
,RI_10,Would enjoy living in Alaska during the wintertime.,,,,,,,,,,,,,
,N_10,Have frequent mood swings. ,,,,,,,,,,,,,
,C_10,Don’t see things through. ,,,,,,,,,,,,,
,Syn_3b,I always try to be considerate of other people.,,,,,,,,,,,,,
,E_9,Would describe my experiences as somewhat dull. ,,,,,,,,,,,,,
,Ant_5b,I seldom exercise.,,,,,,,,,,,,,
,A_9,Have a good word for everyone.,,,,,,,,,,,,,
,A_10,Cut others to pieces. ,,,,,,,,,,,,,
,Syn_9b,Sometimes I find people irritating.,,,,,,,,,,,,,
,E_10,Don’t like to draw attention to myself. ,,,,,,,,,,,,,
page 13,IM_1,I enjoy participating in this task very much.,,,,,,,,,,,,,
,IM_2,I think I am pretty good at this task.,,,,,,,,,,,,,
,IM_3,I put a lot of effort into this task.,,,,,,,,,,,,,
,Infreq_12,I enjoy receiving telemarketer's calls.,,,,,,,,,,,,,
,IM_4,I do not feel nervous at all while participating on this task.,,,,,,,,,,,,,
,IM_5,This task is fun to do.,,,,,,,,,,,,,
,Ant_6b,I avoid reading when I can.,,,,,,,,,,,,,
,IM_6,"I think I do pretty well on this task, compared to other students.",,,,,,,,,,,,,
,IM_7,I haven’t tried very hard on this task.,,,,,,,,,,,,,
,IM_8,I feel very tense while participating on this task.,,,,,,,,,,,,,
,Syn_10b,I am usually happy.,,,,,,,,,,,,,
,IM_9,I haven’t really had a choice about participating on this task. ,,,,,,,,,,,,,
,IM_10,I think this task is boring.,,,,,,,,,,,,,
,IM_11,I try very hard on this task.,,,,,,,,,,,,,
Page 14,IM_12,I am very relaxed in performing this task.,,,,,,,,,,,,,
,Ant_7b,I am easily embarrassed.,,,,,,,,,,,,,
,IM_13,I feel like I have to participate on this task. ,,,,,,,,,,,,,
,IM_14,This task does not hold my attention at all. ,,,,,,,,,,,,,
,RI_11,Have a fear of spiders.,,,,,,,,,,,,,
,IM_15,I would describe this task as very interesting.,,,,,,,,,,,,,
,IM_16,I am pretty skilled at performing this task.,,,,,,,,,,,,,
,Syn_11b,I tend to be pretty lively.,,,,,,,,,,,,,
,IM_17,I haven’t put much energy into this task. ,,,,,,,,,,,,,
,IM_18,I feel pressured during participation in this task.,,,,,,,,,,,,,
,IM_19,I think this task is quite enjoyable.,,,,,,,,,,,,,
,IM_20,"While participating on this task, I think about how much I enjoy it.",,,,,,,,,,,,,
,Ant_3b,I become impatient when waiting in heavy traffic.,,,,,,,,,,,,,
,IM_21,I participate in this task because I have no other choice. ,,,,,,,,,,,,,
Page 15,RIR_1,Which of the following occupations were you asked about earlier in this questionnaire?,,,,,,,,,,,,,
,RIR_2,Which type of music were you asked about earlier in this questionnaire?,,,,,,,,,,,,,
,RIR_3,"Which of the following ""extreme"" sports were you asked about earlier in this questionnaire?",,,,,,,,,,,,,
,RIR_4,Which of the following vegetables were you asked about earlier in this questionnaire?,,,,,,,,,,,,,
,RIR_6,Which U.S. State were you asked about earlier in this questionnaire?,,,,,,,,,,,,,
,RIR_5,Which of the following hobbies were you asked about earlier in this questionnaire?,,,,,,,,,,,,,
,RIR_7,"Earlier in this questionnaire, we asked you about eating _______ as part of a dare.",,,,,,,,,,,,,
,RIR_8,"Earlier in the questionnaire, we asked you if you had experienced a recurring dream about _________.",,,,,,,,,,,,,
,RIR_9,"Earlier in the questionnaire, we asked you whether you had a fear of __________.",,,,,,,,,,,,,
,RIR_10,"Earlier in the questionnaire, we asked you whether you would like to spend an afternoon at _________.",,,,,,,,,,,,,
,RIR_11,"Earlier in the questionnaire, we asked you whether you would be impatient if you had to wait in line at ___________.",,,,,,,,,,,,,
Page 16,Age,What year were you born?,,,,,,,,,,,,,
,Gender,What is your gender?,,,,,,,,,,,,,
